student_id,registered_at,channel,ab_group,lessons_completed,completed_course
42,2024-10-16 08:00:00,Реферальная программа,control,8,True
43,2024-10-06 20:00:00,Таргетированная реклама,test,2,False
44,2024-10-03 16:00:00,Таргетированная реклама,control,2,False
45,2024-10-01 12:00:00,Email-рассылка,control,2,False
46,2024-10-29 12:00:00,Email-рассылка,test,4,False
47,2024-10-10 09:00:00,Email-рассылка,test,8,True
48,2024-10-25 10:00:00,Таргетированная реклама,control,5,False
49,2024-10-16 08:00:00,Контекстная реклама,test,8,True
50,2024-10-01 20:00:00,Реферальная программа,test,8,True
51,2024-10-01 14:00:00,Реферальная программа,control,2,False
52,2024-10-14 09:00:00,Таргетированная реклама,control,1,False
53,2024-10-20 19:00:00,Органический поиск,test,2,False
54,2024-10-31 10:00:00,Email-рассылка,test,2,False
55,2024-10-29 08:00:00,Контекстная реклама,test,1,False
56,2024-10-05 16:00:00,Органический поиск,test,8,True
57,2024-10-27 21:00:00,Таргетированная реклама,test,0,False
58,2024-10-23 08:00:00,Таргетированная реклама,test,1,False
59,2024-10-13 20:00:00,Реферальная программа,control,5,False
60,2024-10-17 10:00:00,Контекстная реклама,test,2,False
61,2024-10-22 09:00:00,Таргетированная реклама,test,1,False
62,2024-10-22 08:00:00,Контекстная реклама,control,2,False
63,2024-10-12 12:00:00,Органический поиск,test,8,True
64,2024-10-30 18:00:00,Органический поиск,test,8,True
65,2024-10-21 15:00:00,Таргетированная реклама,test,0,False
66,2024-10-09 20:00:00,Таргетированная реклама,control,8,True
67,2024-10-30 11:00:00,Органический поиск,control,1,False
68,2024-10-08 12:00:00,Email-рассылка,control,8,True
69,2024-10-15 11:00:00,Органический поиск,test,2,False
70,2024-10-13 22:00:00,Таргетированная реклама,control,2,False
71,2024-10-12 22:00:00,Реферальная программа,test,1,False
72,2024-10-16 13:00:00,Реферальная программа,control,2,False
73,2024-10-30 14:00:00,Таргетированная реклама,test,7,False
74,2024-10-24 12:00:00,Органический поиск,test,8,True
75,2024-10-31 19:00:00,Органический поиск,control,1,False
76,2024-10-28 08:00:00,Таргетированная реклама,control,2,False
77,2024-10-04 09:00:00,Таргетированная реклама,control,6,False
78,2024-10-17 14:00:00,Контекстная реклама,control,4,False
79,2024-10-31 11:00:00,Реферальная программа,test,8,True
80,2024-10-06 20:00:00,Органический поиск,test,3,False
81,2024-10-10 19:00:00,Реферальная программа,control,6,False
82,2024-10-09 16:00:00,Реферальная программа,test,5,False
83,2024-10-03 17:00:00,Реферальная программа,test,8,True
84,2024-10-29 18:00:00,Email-рассылка,test,8,True
85,2024-10-28 19:00:00,Контекстная реклама,test,1,False
86,2024-10-18 21:00:00,Реферальная программа,test,8,True
87,2024-10-15 10:00:00,Реферальная программа,control,2,False
88,2024-10-18 17:00:00,Реферальная программа,control,2,False
89,2024-10-06 10:00:00,Реферальная программа,control,4,False
90,2024-10-21 14:00:00,Реферальная программа,test,2,False
91,2024-10-15 19:00:00,Органический поиск,test,8,True
92,2024-10-22 21:00:00,Органический поиск,test,1,False
93,2024-10-06 19:00:00,Реферальная программа,control,8,True
94,2024-10-17 08:00:00,Реферальная программа,control,2,False
95,2024-10-03 13:00:00,Реферальная программа,test,8,True
96,2024-10-20 10:00:00,Email-рассылка,control,2,False
97,2024-10-17 22:00:00,Реферальная программа,control,2,False
98,2024-10-05 10:00:00,Контекстная реклама,test,2,False
99,2024-10-30 11:00:00,Таргетированная реклама,control,1,False
100,2024-10-28 13:00:00,Органический поиск,control,1,False
101,2024-10-24 08:00:00,Органический поиск,test,8,True
102,2024-10-20 21:00:00,Таргетированная реклама,control,2,False
103,2024-10-11 17:00:00,Контекстная реклама,test,2,False
104,2024-10-07 10:00:00,Реферальная программа,control,8,True
105,2024-10-01 15:00:00,Таргетированная реклама,test,2,False
106,2024-10-17 09:00:00,Реферальная программа,control,4,False
107,2024-10-08 17:00:00,Контекстная реклама,control,8,True
108,2024-10-12 11:00:00,Органический поиск,control,8,True
109,2024-10-01 08:00:00,Таргетированная реклама,test,6,False
110,2024-10-20 09:00:00,Реферальная программа,test,8,True
111,2024-10-27 16:00:00,Email-рассылка,control,8,True
112,2024-10-08 17:00:00,Email-рассылка,test,1,False
113,2024-10-05 12:00:00,Email-рассылка,test,4,False
114,2024-10-16 17:00:00,Email-рассылка,test,3,False
115,2024-10-05 13:00:00,Email-рассылка,test,2,False
116,2024-10-03 09:00:00,Органический поиск,test,2,False
117,2024-10-07 12:00:00,Email-рассылка,control,2,False
118,2024-10-29 13:00:00,Реферальная программа,control,2,False
119,2024-10-04 21:00:00,Реферальная программа,test,8,True
120,2024-10-18 09:00:00,Контекстная реклама,control,2,False
121,2024-10-03 09:00:00,Email-рассылка,test,8,True
122,2024-10-29 16:00:00,Контекстная реклама,control,8,True
123,2024-10-22 22:00:00,Email-рассылка,control,8,True
124,2024-10-13 21:00:00,Контекстная реклама,test,2,False
125,2024-10-13 18:00:00,Органический поиск,test,8,True
126,2024-10-26 09:00:00,Таргетированная реклама,control,2,False
127,2024-10-23 20:00:00,Органический поиск,control,8,True
128,2024-10-31 18:00:00,Органический поиск,control,3,False
129,2024-10-16 10:00:00,Органический поиск,control,0,False
130,2024-10-24 14:00:00,Реферальная программа,test,1,False
131,2024-10-26 08:00:00,Таргетированная реклама,control,1,False
132,2024-10-11 20:00:00,Таргетированная реклама,control,1,False
133,2024-10-19 18:00:00,Таргетированная реклама,control,8,True
134,2024-10-19 20:00:00,Email-рассылка,test,1,False
135,2024-10-26 19:00:00,Таргетированная реклама,test,2,False
136,2024-10-21 12:00:00,Таргетированная реклама,control,2,False
137,2024-10-03 19:00:00,Органический поиск,test,8,True
138,2024-10-11 11:00:00,Email-рассылка,test,2,False
139,2024-10-01 10:00:00,Реферальная программа,test,2,False
140,2024-10-02 13:00:00,Таргетированная реклама,test,6,False
141,2024-10-10 15:00:00,Органический поиск,control,2,False
142,2024-10-18 12:00:00,Таргетированная реклама,test,1,False
143,2024-10-17 17:00:00,Контекстная реклама,test,5,False
144,2024-10-21 17:00:00,Контекстная реклама,control,5,False
145,2024-10-02 11:00:00,Органический поиск,control,5,False
146,2024-10-25 17:00:00,Таргетированная реклама,test,1,False
147,2024-10-10 13:00:00,Органический поиск,test,2,False
148,2024-10-29 19:00:00,Реферальная программа,test,8,True
149,2024-10-12 12:00:00,Органический поиск,test,1,False
150,2024-10-05 19:00:00,Контекстная реклама,test,8,True
151,2024-10-20 14:00:00,Таргетированная реклама,control,2,False
152,2024-10-22 16:00:00,Реферальная программа,test,8,True
153,2024-10-17 18:00:00,Таргетированная реклама,test,6,False
154,2024-10-24 15:00:00,Органический поиск,test,8,True
155,2024-10-13 11:00:00,Таргетированная реклама,control,4,False
156,2024-10-10 22:00:00,Контекстная реклама,control,3,False
157,2024-10-06 09:00:00,Таргетированная реклама,test,2,False
158,2024-10-20 12:00:00,Реферальная программа,test,5,False
159,2024-10-03 16:00:00,Контекстная реклама,test,8,True
160,2024-10-24 08:00:00,Email-рассылка,control,4,False
161,2024-10-16 10:00:00,Реферальная программа,control,7,False
162,2024-10-18 19:00:00,Таргетированная реклама,test,8,True
163,2024-10-25 19:00:00,Email-рассылка,control,2,False
164,2024-10-10 17:00:00,Таргетированная реклама,test,1,False
165,2024-10-21 21:00:00,Таргетированная реклама,test,2,False
166,2024-10-22 19:00:00,Органический поиск,test,1,False
167,2024-10-04 12:00:00,Органический поиск,test,2,False
168,2024-10-12 17:00:00,Органический поиск,control,8,True
169,2024-10-27 13:00:00,Таргетированная реклама,control,2,False
170,2024-10-16 19:00:00,Таргетированная реклама,test,1,False
171,2024-10-06 13:00:00,Таргетированная реклама,control,1,False
172,2024-10-07 10:00:00,Реферальная программа,test,2,False
173,2024-10-22 21:00:00,Контекстная реклама,control,3,False
174,2024-10-05 18:00:00,Реферальная программа,control,1,False
175,2024-10-22 19:00:00,Таргетированная реклама,control,1,False
176,2024-10-22 16:00:00,Таргетированная реклама,control,2,False
177,2024-10-04 19:00:00,Органический поиск,control,1,False
178,2024-10-07 14:00:00,Органический поиск,control,8,True
179,2024-10-30 16:00:00,Реферальная программа,control,2,False
180,2024-10-09 08:00:00,Контекстная реклама,control,2,False
181,2024-10-08 16:00:00,Контекстная реклама,test,2,False
182,2024-10-27 20:00:00,Таргетированная реклама,test,8,True
183,2024-10-07 18:00:00,Реферальная программа,control,8,True
184,2024-10-21 20:00:00,Контекстная реклама,control,2,False
185,2024-10-16 15:00:00,Таргетированная реклама,test,7,False
186,2024-10-14 21:00:00,Таргетированная реклама,control,4,False
187,2024-10-17 09:00:00,Реферальная программа,test,8,True
188,2024-10-16 21:00:00,Email-рассылка,control,2,False
189,2024-10-26 13:00:00,Органический поиск,test,2,False
190,2024-10-28 09:00:00,Контекстная реклама,control,3,False
191,2024-10-24 17:00:00,Email-рассылка,control,2,False
192,2024-10-01 14:00:00,Email-рассылка,test,2,False
193,2024-10-12 14:00:00,Таргетированная реклама,test,6,False
194,2024-10-09 20:00:00,Контекстная реклама,control,8,True
195,2024-10-26 10:00:00,Органический поиск,control,3,False
196,2024-10-24 17:00:00,Таргетированная реклама,control,1,False
197,2024-10-06 14:00:00,Органический поиск,test,8,True
198,2024-10-09 15:00:00,Таргетированная реклама,control,1,False
199,2024-10-05 15:00:00,Таргетированная реклама,test,2,False
200,2024-10-04 10:00:00,Реферальная программа,control,3,False
201,2024-10-27 15:00:00,Органический поиск,control,1,False
202,2024-10-09 20:00:00,Органический поиск,test,8,True
203,2024-10-11 10:00:00,Таргетированная реклама,control,3,False
204,2024-10-28 08:00:00,Email-рассылка,control,6,False
205,2024-10-30 09:00:00,Таргетированная реклама,test,2,False
206,2024-10-26 14:00:00,Контекстная реклама,test,2,False
207,2024-10-04 22:00:00,Таргетированная реклама,test,2,False
208,2024-10-14 08:00:00,Органический поиск,test,2,False
209,2024-10-23 22:00:00,Органический поиск,test,2,False
210,2024-10-05 16:00:00,Таргетированная реклама,control,5,False
211,2024-10-29 09:00:00,Таргетированная реклама,test,2,False
212,2024-10-25 14:00:00,Таргетированная реклама,control,3,False
213,2024-10-02 11:00:00,Таргетированная реклама,test,5,False
214,2024-10-27 18:00:00,Контекстная реклама,test,8,True
215,2024-10-28 16:00:00,Контекстная реклама,control,2,False
216,2024-10-05 12:00:00,Органический поиск,control,8,True
217,2024-10-10 11:00:00,Реферальная программа,test,2,False
218,2024-10-03 21:00:00,Контекстная реклама,control,0,False
219,2024-10-03 19:00:00,Контекстная реклама,test,2,False
220,2024-10-23 14:00:00,Таргетированная реклама,test,0,False
221,2024-10-20 14:00:00,Органический поиск,test,3,False
222,2024-10-17 19:00:00,Органический поиск,control,8,True
223,2024-10-15 22:00:00,Таргетированная реклама,control,8,True
224,2024-10-27 09:00:00,Email-рассылка,test,1,False
225,2024-10-29 10:00:00,Email-рассылка,test,8,True
226,2024-10-07 13:00:00,Контекстная реклама,control,1,False
227,2024-10-26 15:00:00,Реферальная программа,test,2,False
228,2024-10-24 09:00:00,Реферальная программа,test,3,False
229,2024-10-24 08:00:00,Таргетированная реклама,test,2,False
230,2024-10-08 11:00:00,Реферальная программа,control,2,False
231,2024-10-26 13:00:00,Таргетированная реклама,test,2,False
232,2024-10-24 19:00:00,Таргетированная реклама,test,1,False
233,2024-10-22 17:00:00,Реферальная программа,control,4,False
234,2024-10-27 08:00:00,Email-рассылка,control,2,False
235,2024-10-21 08:00:00,Органический поиск,control,2,False
236,2024-10-20 14:00:00,Контекстная реклама,test,1,False
237,2024-10-31 21:00:00,Таргетированная реклама,test,1,False
238,2024-10-02 21:00:00,Органический поиск,control,2,False
239,2024-10-06 13:00:00,Реферальная программа,test,1,False
240,2024-10-17 21:00:00,Таргетированная реклама,test,0,False
241,2024-10-11 21:00:00,Таргетированная реклама,test,2,False
242,2024-10-10 14:00:00,Органический поиск,control,2,False
243,2024-10-29 19:00:00,Таргетированная реклама,test,1,False
244,2024-10-22 13:00:00,Email-рассылка,control,4,False
245,2024-10-01 10:00:00,Реферальная программа,control,2,False
246,2024-10-10 16:00:00,Органический поиск,test,8,True
247,2024-10-28 09:00:00,Таргетированная реклама,test,5,False
248,2024-10-02 17:00:00,Органический поиск,control,2,False
249,2024-10-08 20:00:00,Контекстная реклама,test,0,False
250,2024-10-18 21:00:00,Реферальная программа,test,0,False
251,2024-10-14 14:00:00,Таргетированная реклама,test,2,False
252,2024-10-25 09:00:00,Органический поиск,test,8,True
253,2024-10-07 21:00:00,Органический поиск,test,8,True
254,2024-10-05 21:00:00,Таргетированная реклама,control,4,False
255,2024-10-22 22:00:00,Реферальная программа,test,8,True
256,2024-10-09 16:00:00,Email-рассылка,test,5,False
257,2024-10-02 18:00:00,Таргетированная реклама,control,1,False
258,2024-10-02 13:00:00,Контекстная реклама,control,2,False
259,2024-10-11 10:00:00,Реферальная программа,control,3,False
260,2024-10-17 12:00:00,Реферальная программа,control,8,True
261,2024-10-03 18:00:00,Таргетированная реклама,control,3,False
262,2024-10-06 12:00:00,Реферальная программа,test,8,True
263,2024-10-10 18:00:00,Реферальная программа,test,8,True
264,2024-10-23 15:00:00,Реферальная программа,control,0,False
265,2024-10-03 14:00:00,Реферальная программа,test,4,False
266,2024-10-22 22:00:00,Контекстная реклама,control,8,True
267,2024-10-30 10:00:00,Органический поиск,control,3,False
268,2024-10-08 15:00:00,Реферальная программа,control,2,False
269,2024-10-08 10:00:00,Контекстная реклама,test,1,False
270,2024-10-07 22:00:00,Контекстная реклама,test,8,True
271,2024-10-22 15:00:00,Контекстная реклама,control,8,True
272,2024-10-18 12:00:00,Контекстная реклама,test,2,False
273,2024-10-18 10:00:00,Контекстная реклама,test,8,True
274,2024-10-02 16:00:00,Реферальная программа,test,0,False
275,2024-10-18 13:00:00,Реферальная программа,test,8,True
276,2024-10-15 09:00:00,Email-рассылка,control,2,False
277,2024-10-27 08:00:00,Реферальная программа,test,8,True
278,2024-10-15 13:00:00,Email-рассылка,control,2,False
279,2024-10-25 16:00:00,Таргетированная реклама,test,2,False
280,2024-10-06 15:00:00,Реферальная программа,control,2,False
281,2024-10-19 21:00:00,Контекстная реклама,control,8,True
282,2024-10-17 21:00:00,Контекстная реклама,control,2,False
283,2024-10-11 22:00:00,Таргетированная реклама,test,4,False
284,2024-10-30 19:00:00,Email-рассылка,test,8,True
285,2024-10-27 15:00:00,Контекстная реклама,control,8,True
286,2024-10-30 15:00:00,Таргетированная реклама,control,0,False
287,2024-10-19 13:00:00,Контекстная реклама,test,2,False
288,2024-10-19 13:00:00,Органический поиск,test,8,True
289,2024-10-18 08:00:00,Таргетированная реклама,control,5,False
290,2024-10-03 19:00:00,Email-рассылка,control,4,False
291,2024-10-27 11:00:00,Органический поиск,control,2,False
292,2024-10-01 08:00:00,Таргетированная реклама,test,2,False
293,2024-10-25 14:00:00,Контекстная реклама,test,5,False
294,2024-10-09 18:00:00,Органический поиск,control,8,True
295,2024-10-17 14:00:00,Таргетированная реклама,test,6,False
296,2024-10-03 13:00:00,Email-рассылка,control,2,False
297,2024-10-24 17:00:00,Контекстная реклама,control,8,True
298,2024-10-15 10:00:00,Таргетированная реклама,test,2,False
299,2024-10-20 08:00:00,Реферальная программа,test,2,False
300,2024-10-31 16:00:00,Таргетированная реклама,control,8,True
301,2024-10-23 15:00:00,Таргетированная реклама,test,2,False
302,2024-10-11 20:00:00,Таргетированная реклама,control,8,True
303,2024-10-01 14:00:00,Таргетированная реклама,test,8,True
304,2024-10-23 19:00:00,Email-рассылка,test,2,False
305,2024-10-08 08:00:00,Органический поиск,control,2,False
306,2024-10-31 08:00:00,Органический поиск,control,2,False
307,2024-10-25 16:00:00,Реферальная программа,test,1,False
308,2024-10-01 11:00:00,Контекстная реклама,control,7,False
309,2024-10-06 09:00:00,Реферальная программа,test,2,False
310,2024-10-19 09:00:00,Таргетированная реклама,test,3,False
311,2024-10-11 13:00:00,Таргетированная реклама,control,5,False
312,2024-10-02 13:00:00,Email-рассылка,control,1,False
313,2024-10-19 16:00:00,Таргетированная реклама,control,2,False
314,2024-10-17 21:00:00,Органический поиск,control,2,False
315,2024-10-07 13:00:00,Таргетированная реклама,test,0,False
316,2024-10-21 10:00:00,Таргетированная реклама,test,8,True
317,2024-10-10 16:00:00,Контекстная реклама,test,2,False
318,2024-10-23 08:00:00,Email-рассылка,control,3,False
319,2024-10-13 13:00:00,Реферальная программа,control,0,False
320,2024-10-10 12:00:00,Таргетированная реклама,control,0,False
321,2024-10-27 13:00:00,Реферальная программа,control,2,False
322,2024-10-19 08:00:00,Таргетированная реклама,test,3,False
323,2024-10-24 16:00:00,Email-рассылка,test,2,False
324,2024-10-12 17:00:00,Таргетированная реклама,control,8,True
325,2024-10-24 19:00:00,Email-рассылка,control,2,False
326,2024-10-27 22:00:00,Органический поиск,control,8,True
327,2024-10-24 13:00:00,Контекстная реклама,control,3,False
328,2024-10-24 17:00:00,Таргетированная реклама,test,8,True
329,2024-10-11 14:00:00,Контекстная реклама,test,2,False
330,2024-10-01 11:00:00,Реферальная программа,test,8,True
331,2024-10-05 21:00:00,Реферальная программа,test,2,False
332,2024-10-29 19:00:00,Email-рассылка,control,8,True
333,2024-10-09 22:00:00,Органический поиск,control,3,False
334,2024-10-08 20:00:00,Контекстная реклама,control,2,False
335,2024-10-24 21:00:00,Таргетированная реклама,test,4,False
336,2024-10-23 09:00:00,Контекстная реклама,control,8,True
337,2024-10-01 08:00:00,Контекстная реклама,control,2,False
338,2024-10-31 10:00:00,Реферальная программа,test,8,True
339,2024-10-27 14:00:00,Органический поиск,test,8,True
340,2024-10-27 18:00:00,Таргетированная реклама,control,0,False
341,2024-10-03 14:00:00,Таргетированная реклама,test,1,False
342,2024-10-21 15:00:00,Реферальная программа,test,8,True
343,2024-10-05 19:00:00,Контекстная реклама,control,1,False
344,2024-10-22 09:00:00,Таргетированная реклама,test,2,False
345,2024-10-07 18:00:00,Таргетированная реклама,test,1,False
346,2024-10-04 08:00:00,Email-рассылка,control,4,False
347,2024-10-12 11:00:00,Email-рассылка,test,8,True
348,2024-10-12 18:00:00,Реферальная программа,test,1,False
349,2024-10-08 18:00:00,Органический поиск,test,2,False
350,2024-10-19 14:00:00,Реферальная программа,test,8,True
351,2024-10-04 12:00:00,Email-рассылка,control,1,False
352,2024-10-12 20:00:00,Органический поиск,test,4,False
353,2024-10-01 12:00:00,Таргетированная реклама,test,2,False
354,2024-10-24 08:00:00,Реферальная программа,control,8,True
355,2024-10-18 11:00:00,Реферальная программа,control,2,False
356,2024-10-15 08:00:00,Таргетированная реклама,control,8,True
357,2024-10-08 20:00:00,Контекстная реклама,control,0,False
358,2024-10-30 09:00:00,Контекстная реклама,test,1,False
359,2024-10-28 22:00:00,Контекстная реклама,test,3,False
360,2024-10-21 11:00:00,Реферальная программа,control,2,False
361,2024-10-21 12:00:00,Реферальная программа,control,2,False
362,2024-10-11 16:00:00,Органический поиск,control,3,False
363,2024-10-05 12:00:00,Email-рассылка,test,5,False
364,2024-10-30 13:00:00,Email-рассылка,control,8,True
365,2024-10-20 09:00:00,Таргетированная реклама,test,5,False
366,2024-10-23 13:00:00,Контекстная реклама,control,8,True
367,2024-10-19 08:00:00,Email-рассылка,control,2,False
368,2024-10-06 11:00:00,Таргетированная реклама,control,5,False
369,2024-10-04 21:00:00,Контекстная реклама,control,4,False
370,2024-10-16 12:00:00,Реферальная программа,test,8,True
371,2024-10-08 12:00:00,Email-рассылка,test,8,True
372,2024-10-08 18:00:00,Органический поиск,control,2,False
373,2024-10-17 21:00:00,Органический поиск,test,2,False
374,2024-10-26 12:00:00,Органический поиск,test,0,False
375,2024-10-11 13:00:00,Таргетированная реклама,control,1,False
376,2024-10-26 18:00:00,Органический поиск,test,2,False
377,2024-10-14 19:00:00,Реферальная программа,test,1,False
378,2024-10-20 17:00:00,Контекстная реклама,control,8,True
379,2024-10-23 10:00:00,Таргетированная реклама,control,2,False
380,2024-10-21 10:00:00,Таргетированная реклама,control,0,False
381,2024-10-04 19:00:00,Органический поиск,test,2,False
382,2024-10-02 18:00:00,Реферальная программа,control,4,False
383,2024-10-07 21:00:00,Email-рассылка,control,0,False
384,2024-10-02 19:00:00,Таргетированная реклама,control,0,False
385,2024-10-29 14:00:00,Органический поиск,test,3,False
386,2024-10-31 09:00:00,Органический поиск,test,1,False
387,2024-10-27 21:00:00,Таргетированная реклама,test,1,False
388,2024-10-08 18:00:00,Контекстная реклама,control,1,False
389,2024-10-24 16:00:00,Контекстная реклама,control,1,False
390,2024-10-02 18:00:00,Таргетированная реклама,control,2,False
391,2024-10-03 13:00:00,Реферальная программа,control,8,True
392,2024-10-09 13:00:00,Email-рассылка,control,5,False
393,2024-10-31 16:00:00,Органический поиск,test,8,True
394,2024-10-11 15:00:00,Контекстная реклама,test,0,False
395,2024-10-23 18:00:00,Контекстная реклама,test,8,True
396,2024-10-25 22:00:00,Email-рассылка,test,1,False
397,2024-10-28 20:00:00,Таргетированная реклама,control,0,False
398,2024-10-19 13:00:00,Реферальная программа,control,8,True
399,2024-10-12 13:00:00,Email-рассылка,test,8,True
400,2024-10-14 21:00:00,Реферальная программа,control,2,False
401,2024-10-21 13:00:00,Органический поиск,test,1,False
402,2024-10-25 20:00:00,Реферальная программа,test,8,True
403,2024-10-05 09:00:00,Органический поиск,test,5,False
404,2024-10-14 14:00:00,Таргетированная реклама,control,1,False
405,2024-10-02 15:00:00,Таргетированная реклама,control,1,False
406,2024-10-19 20:00:00,Органический поиск,control,7,False
407,2024-10-19 21:00:00,Контекстная реклама,control,8,True
408,2024-10-14 10:00:00,Органический поиск,control,8,True
409,2024-10-23 17:00:00,Органический поиск,control,2,False
410,2024-10-15 17:00:00,Email-рассылка,test,1,False
411,2024-10-07 10:00:00,Таргетированная реклама,test,3,False
412,2024-10-11 20:00:00,Таргетированная реклама,test,2,False
413,2024-10-26 16:00:00,Таргетированная реклама,test,3,False
414,2024-10-09 22:00:00,Таргетированная реклама,control,6,False
415,2024-10-31 10:00:00,Таргетированная реклама,test,2,False
416,2024-10-22 15:00:00,Реферальная программа,test,8,True
417,2024-10-27 12:00:00,Реферальная программа,control,1,False
418,2024-10-16 17:00:00,Органический поиск,control,3,False
419,2024-10-21 17:00:00,Реферальная программа,test,3,False
420,2024-10-09 15:00:00,Органический поиск,test,2,False
421,2024-10-29 12:00:00,Реферальная программа,control,2,False
422,2024-10-08 15:00:00,Email-рассылка,test,1,False
423,2024-10-15 13:00:00,Таргетированная реклама,control,1,False
424,2024-10-31 21:00:00,Контекстная реклама,test,8,True
425,2024-10-04 14:00:00,Контекстная реклама,control,8,True
426,2024-10-20 15:00:00,Email-рассылка,control,3,False
427,2024-10-31 11:00:00,Таргетированная реклама,test,3,False
428,2024-10-29 11:00:00,Контекстная реклама,test,1,False
429,2024-10-28 22:00:00,Таргетированная реклама,test,3,False
430,2024-10-08 12:00:00,Реферальная программа,test,2,False
431,2024-10-04 21:00:00,Органический поиск,control,7,False
432,2024-10-06 16:00:00,Контекстная реклама,test,8,True
433,2024-10-11 22:00:00,Органический поиск,test,8,True
434,2024-10-21 10:00:00,Email-рассылка,control,2,False
435,2024-10-24 22:00:00,Органический поиск,control,8,True
436,2024-10-18 19:00:00,Таргетированная реклама,control,2,False
437,2024-10-23 16:00:00,Органический поиск,control,8,True
438,2024-10-26 18:00:00,Таргетированная реклама,control,2,False
439,2024-10-06 18:00:00,Органический поиск,test,8,True
440,2024-10-18 14:00:00,Контекстная реклама,test,8,True
441,2024-10-19 17:00:00,Контекстная реклама,test,8,True
442,2024-10-04 11:00:00,Реферальная программа,control,2,False
443,2024-10-25 08:00:00,Контекстная реклама,test,1,False
444,2024-10-04 18:00:00,Реферальная программа,test,8,True
445,2024-10-07 15:00:00,Контекстная реклама,test,2,False
446,2024-10-25 21:00:00,Контекстная реклама,test,4,False
447,2024-10-26 11:00:00,Органический поиск,control,2,False
448,2024-10-10 20:00:00,Органический поиск,control,3,False
449,2024-10-25 22:00:00,Органический поиск,test,2,False
450,2024-10-23 21:00:00,Реферальная программа,control,8,True
451,2024-10-13 22:00:00,Контекстная реклама,control,4,False
452,2024-10-11 10:00:00,Контекстная реклама,test,0,False
453,2024-10-17 10:00:00,Таргетированная реклама,test,2,False
454,2024-10-02 11:00:00,Реферальная программа,control,0,False
455,2024-10-12 13:00:00,Органический поиск,test,8,True
456,2024-10-01 09:00:00,Таргетированная реклама,control,4,False
457,2024-10-04 10:00:00,Контекстная реклама,control,0,False
458,2024-10-24 08:00:00,Email-рассылка,test,8,True
459,2024-10-11 21:00:00,Email-рассылка,test,8,True
460,2024-10-12 13:00:00,Контекстная реклама,test,2,False
461,2024-10-23 17:00:00,Таргетированная реклама,control,0,False
462,2024-10-08 14:00:00,Реферальная программа,control,8,True
463,2024-10-16 19:00:00,Email-рассылка,test,8,True
464,2024-10-13 20:00:00,Реферальная программа,test,8,True
465,2024-10-14 13:00:00,Реферальная программа,test,8,True
466,2024-10-11 16:00:00,Email-рассылка,test,6,False
467,2024-10-15 09:00:00,Реферальная программа,control,2,False
468,2024-10-13 12:00:00,Органический поиск,control,1,False
469,2024-10-16 11:00:00,Email-рассылка,control,2,False
470,2024-10-28 12:00:00,Таргетированная реклама,test,2,False
471,2024-10-16 12:00:00,Таргетированная реклама,test,5,False
472,2024-10-18 16:00:00,Email-рассылка,control,1,False
