merchant_id,industry,tx_count_90d,avg_check_rub,gmv_90d_rub
258,Электроника,467,14765,6895255
259,Продукты питания,347,2013,698511
260,Услуги и подписки,621,1177,730917
261,Одежда и обувь,1426,2969,4233794
265,Электроника,266,11242,2990372
266,Одежда и обувь,583,4167,2429361
267,Товары для дома,363,5523,2004849
268,Одежда и обувь,871,3954,3443934
270,Товары для дома,73,4460,325580
273,Продукты питания,384,1550,595200
277,Одежда и обувь,263,3815,1003345
280,Продукты питания,249,1383,344367
281,Товары для дома,298,4948,1474504
282,Одежда и обувь,512,3646,1866752
285,Услуги и подписки,295,1298,382910
286,Одежда и обувь,503,4016,2020048
299,Электроника,162,12363,2002806
301,Красота и здоровье,318,2702,859236
304,Товары для дома,591,5213,3080883
305,Одежда и обувь,771,3477,2680767
307,Одежда и обувь,323,3171,1024233
308,Электроника,141,11554,1629114
310,Одежда и обувь,787,3555,2797785
313,Одежда и обувь,466,3656,1703696
315,Услуги и подписки,385,1676,645260
316,Услуги и подписки,286,1473,421278
317,Услуги и подписки,326,1514,493564
318,Хобби и DIY,323,2414,779722
321,Хобби и DIY,200,3031,606200
322,Электроника,522,11500,6003000
323,Услуги и подписки,202,1606,324412
330,Продукты питания,248,2131,528488
333,Продукты питания,510,2127,1084770
334,Хобби и DIY,142,2259,320778
340,Красота и здоровье,344,2118,728592
342,Одежда и обувь,658,3025,1990450
345,Одежда и обувь,265,2968,786520
346,Товары для дома,75,6142,460650
348,Одежда и обувь,803,3551,2851453
350,Товары для дома,114,4156,473784
351,Продукты питания,310,1673,518630
353,Услуги и подписки,264,1782,470448
354,Товары для дома,239,5661,1352979
355,Продукты питания,630,1598,1006740
357,Электроника,260,13990,3637400
358,Одежда и обувь,616,3272,2015552
361,Красота и здоровье,438,2536,1110768
362,Одежда и обувь,307,2847,874029
363,Услуги и подписки,192,1429,274368
366,Одежда и обувь,3905,2977,11625185
372,Красота и здоровье,348,2995,1042260
374,Электроника,292,11312,3303104
376,Товары для дома,133,5581,742273
377,Красота и здоровье,479,2479,1187441
379,Одежда и обувь,470,2616,1229520
383,Услуги и подписки,216,1381,298296
384,Товары для дома,658,4152,2732016
385,Одежда и обувь,1261,3576,4509336
388,Хобби и DIY,158,2303,363874
391,Красота и здоровье,367,2441,895847
392,Одежда и обувь,439,3505,1538695
394,Товары для дома,134,4154,556636
395,Продукты питания,432,2201,950832
398,Продукты питания,470,1930,907100
400,Одежда и обувь,964,3406,3283384
401,Электроника,250,10375,2593750
407,Одежда и обувь,314,3158,991612
413,Электроника,59,12261,723399
418,Красота и здоровье,270,2193,592110
419,Товары для дома,124,5361,664764
420,Электроника,171,12723,2175633
421,Электроника,231,11339,2619309
424,Одежда и обувь,650,3224,2095600
428,Продукты питания,323,1888,609824
429,Одежда и обувь,682,4175,2847350
430,Электроника,392,13269,5201448
432,Красота и здоровье,403,2318,934154
434,Хобби и DIY,198,2453,485694
435,Электроника,135,12027,1623645
437,Товары для дома,277,5181,1435137
441,Услуги и подписки,680,1553,1056040
444,Одежда и обувь,530,3552,1882560
446,Хобби и DIY,136,2635,358360
447,Одежда и обувь,1072,2723,2919056
451,Продукты питания,382,2000,764000
452,Товары для дома,354,4383,1551582
453,Одежда и обувь,620,3578,2218360
455,Красота и здоровье,436,2183,951788
458,Красота и здоровье,520,2563,1332760
462,Электроника,372,13776,5124672
463,Товары для дома,460,6008,2763680
465,Одежда и обувь,1236,3140,3881040
467,Одежда и обувь,483,3953,1909299
469,Продукты питания,217,2114,458738
470,Красота и здоровье,302,2459,742618
471,Электроника,900,12678,11410200
473,Красота и здоровье,312,2402,749424
474,Электроника,66,11548,762168
476,Красота и здоровье,1425,2120,3021000
477,Услуги и подписки,334,1306,436204
479,Услуги и подписки,189,1028,194292
481,Электроника,98,12888,1263024
482,Одежда и обувь,606,3987,2416122
485,Продукты питания,644,1941,1250004
486,Товары для дома,377,4892,1844284
487,Красота и здоровье,546,2391,1305486
488,Красота и здоровье,146,3176,463696
489,Товары для дома,136,5480,745280
491,Товары для дома,258,4122,1063476
492,Продукты питания,794,2365,1877810
493,Электроника,147,15079,2216613
495,Одежда и обувь,159,2954,469686
499,Одежда и обувь,894,3704,3311376
501,Электроника,41,12455,510655
502,Хобби и DIY,126,2050,258300
504,Красота и здоровье,511,2303,1176833
505,Хобби и DIY,251,2935,736685
506,Товары для дома,104,5252,546208
511,Одежда и обувь,919,4512,4146528
512,Продукты питания,905,1933,1749365
514,Красота и здоровье,477,2024,965448
516,Одежда и обувь,490,2984,1462160
518,Товары для дома,336,4613,1549968
521,Хобби и DIY,111,2590,287490
522,Услуги и подписки,544,1432,779008
525,Продукты питания,982,1962,1926684
527,Электроника,148,15018,2222664
529,Услуги и подписки,462,1561,721182
531,Продукты питания,745,1448,1078760
533,Продукты питания,375,1970,738750
534,Услуги и подписки,85,1165,99025
535,Одежда и обувь,608,3107,1889056
536,Одежда и обувь,102,4086,416772
537,Электроника,454,9567,4343418
538,Услуги и подписки,419,1840,770960
540,Услуги и подписки,261,1581,412641
541,Красота и здоровье,559,2679,1497561
552,Одежда и обувь,292,2816,822272
556,Электроника,349,12797,4466153
558,Товары для дома,292,4557,1330644
559,Услуги и подписки,342,1328,454176
560,Продукты питания,335,1851,620085
562,Хобби и DIY,139,3434,477326
568,Услуги и подписки,403,1626,655278
569,Красота и здоровье,197,2504,493288
571,Одежда и обувь,275,3516,966900
575,Товары для дома,456,4595,2095320
576,Электроника,242,13749,3327258
577,Одежда и обувь,320,2863,916160
579,Товары для дома,266,5352,1423632
581,Продукты питания,422,1531,646082
586,Электроника,121,12225,1479225
588,Электроника,203,14370,2917110
589,Одежда и обувь,532,4106,2184392
590,Одежда и обувь,888,2447,2172936
592,Одежда и обувь,681,2881,1961961
593,Электроника,134,12697,1701398
594,Услуги и подписки,213,1616,344208
596,Электроника,229,11745,2689605
597,Товары для дома,93,4840,450120
598,Красота и здоровье,172,2588,445136
600,Одежда и обувь,488,3343,1631384
601,Одежда и обувь,502,3365,1689230
606,Хобби и DIY,276,2694,743544
607,Электроника,83,15263,1266829
608,Красота и здоровье,250,2528,632000
609,Красота и здоровье,319,2989,953491
611,Продукты питания,343,1885,646555
612,Продукты питания,272,1736,472192
616,Электроника,127,12368,1570736
617,Хобби и DIY,184,2138,393392
618,Электроника,155,11106,1721430
622,Услуги и подписки,236,1366,322376
624,Красота и здоровье,167,2638,440546
626,Услуги и подписки,1020,1794,1829880
627,Товары для дома,271,4686,1269906
628,Хобби и DIY,381,2361,899541
630,Электроника,154,14087,2169398
632,Хобби и DIY,171,2759,471789
633,Одежда и обувь,714,3873,2765322
634,Товары для дома,234,5471,1280214
635,Электроника,192,13665,2623680
636,Товары для дома,285,5109,1456065
640,Товары для дома,222,5473,1215006
641,Одежда и обувь,511,3768,1925448
642,Товары для дома,442,5457,2411994
644,Товары для дома,147,5444,800268
645,Электроника,470,12693,5965710
647,Электроника,248,11556,2865888
649,Одежда и обувь,461,3411,1572471
650,Товары для дома,413,4663,1925819
651,Одежда и обувь,860,3022,2598920
652,Продукты питания,493,2264,1116152
654,Красота и здоровье,303,2596,786588
656,Одежда и обувь,222,2971,659562
658,Электроника,124,14857,1842268
660,Хобби и DIY,168,2737,459816
665,Одежда и обувь,712,3806,2709872
668,Услуги и подписки,304,1434,435936
669,Товары для дома,317,5250,1664250
671,Красота и здоровье,282,2799,789318
673,Товары для дома,359,4961,1780999
674,Одежда и обувь,1797,3144,5649768
675,Одежда и обувь,598,3563,2130674
677,Одежда и обувь,510,3645,1858950
678,Товары для дома,252,4193,1056636
679,Одежда и обувь,854,4388,3747352
684,Красота и здоровье,317,3108,985236
685,Продукты питания,643,1933,1242919
686,Одежда и обувь,906,3748,3395688
687,Электроника,487,12773,6220451
691,Продукты питания,535,1756,939460
692,Хобби и DIY,172,3008,517376
693,Продукты питания,504,1714,863856
694,Товары для дома,254,5118,1299972
695,Продукты питания,461,1750,806750
696,Товары для дома,542,4407,2388594
697,Красота и здоровье,251,2646,664146
700,Одежда и обувь,267,3825,1021275
703,Красота и здоровье,350,2682,938700
705,Электроника,203,12898,2618294
709,Красота и здоровье,561,2040,1144440
712,Услуги и подписки,271,1464,396744
719,Одежда и обувь,428,2824,1208672
721,Одежда и обувь,391,3424,1338784
722,Продукты питания,295,1899,560205
723,Хобби и DIY,102,2681,273462
726,Одежда и обувь,283,3387,958521
727,Хобби и DIY,49,2863,140287
728,Электроника,286,13670,3909620
731,Одежда и обувь,608,3538,2151104
733,Хобби и DIY,513,3014,1546182
734,Продукты питания,184,1349,248216
735,Продукты питания,1212,1671,2025252
736,Электроника,167,13477,2250659
738,Продукты питания,172,1901,326972
739,Товары для дома,83,4393,364619
740,Услуги и подписки,217,1578,342426
745,Продукты питания,677,2068,1400036
747,Электроника,209,11637,2432133
748,Красота и здоровье,262,2399,628538
749,Одежда и обувь,1011,2732,2762052
751,Электроника,193,12647,2440871
753,Красота и здоровье,135,2586,349110
755,Товары для дома,509,4277,2176993
756,Услуги и подписки,164,1406,230584
757,Одежда и обувь,301,3379,1017079
758,Электроника,160,14212,2273920
763,Красота и здоровье,385,2480,954800
764,Услуги и подписки,204,1337,272748
768,Одежда и обувь,205,4004,820820
772,Продукты питания,294,2058,605052
775,Услуги и подписки,500,1266,633000
781,Товары для дома,250,5319,1329750
784,Одежда и обувь,999,3186,3182814
785,Электроника,240,14375,3450000
786,Хобби и DIY,118,2565,302670
788,Хобби и DIY,108,2118,228744
789,Красота и здоровье,356,2422,862232
790,Одежда и обувь,602,3041,1830682
795,Электроника,192,11778,2261376
796,Одежда и обувь,605,2463,1490115
797,Электроника,167,12617,2107039
800,Одежда и обувь,506,2569,1299914
801,Одежда и обувь,345,3348,1155060
802,Электроника,101,9094,918494
804,Хобби и DIY,241,2345,565145
808,Электроника,104,13642,1418768
809,Одежда и обувь,192,3685,707520
810,Красота и здоровье,264,2352,620928
812,Красота и здоровье,372,2770,1030440
817,Одежда и обувь,492,2655,1306260
818,Красота и здоровье,166,2904,482064
819,Одежда и обувь,991,3880,3845080
821,Одежда и обувь,613,3314,2031482
824,Электроника,340,12122,4121480
825,Продукты питания,400,1365,546000
826,Одежда и обувь,707,3375,2386125
828,Электроника,96,13812,1325952
829,Одежда и обувь,100,3548,354800
830,Товары для дома,255,4988,1271940
833,Красота и здоровье,153,2153,329409
834,Одежда и обувь,871,3453,3007563
835,Одежда и обувь,899,3048,2740152
838,Одежда и обувь,641,3979,2550539
840,Товары для дома,158,5254,830132
841,Товары для дома,249,5056,1258944
842,Услуги и подписки,393,1507,592251
845,Красота и здоровье,400,2304,921600
846,Электроника,109,11545,1258405
848,Одежда и обувь,191,4180,798380
850,Одежда и обувь,664,3035,2015240
855,Товары для дома,247,4910,1212770
856,Одежда и обувь,740,3441,2546340
858,Красота и здоровье,317,2600,824200
860,Продукты питания,375,1941,727875
862,Электроника,163,15670,2554210
863,Хобби и DIY,134,2746,367964
865,Товары для дома,936,5192,4859712
867,Электроника,158,12332,1948456
868,Красота и здоровье,268,2539,680452
870,Красота и здоровье,476,2746,1307096
875,Продукты питания,525,2220,1165500
876,Продукты питания,430,2194,943420
877,Услуги и подписки,181,931,168511
879,Товары для дома,122,3913,477386
884,Одежда и обувь,524,4247,2225428
885,Электроника,162,11982,1941084
887,Красота и здоровье,243,2480,602640
888,Электроника,279,11906,3321774
890,Хобби и DIY,266,2277,605682
891,Красота и здоровье,603,2359,1422477
893,Услуги и подписки,165,1402,231330
894,Услуги и подписки,513,1410,723330
896,Одежда и обувь,190,3000,570000
897,Товары для дома,242,5439,1316238
901,Продукты питания,659,1879,1238261
904,Услуги и подписки,165,1527,251955
905,Продукты питания,196,1921,376516
906,Товары для дома,243,4592,1115856
907,Товары для дома,620,4484,2780080
908,Товары для дома,638,4029,2570502
911,Продукты питания,782,2065,1614830
913,Красота и здоровье,185,2554,472490
916,Товары для дома,251,5621,1410871
921,Услуги и подписки,993,1568,1557024
922,Красота и здоровье,526,3093,1626918
925,Красота и здоровье,137,2481,339897
927,Одежда и обувь,841,3003,2525523
935,Товары для дома,167,5994,1000998
937,Красота и здоровье,273,2960,808080
938,Одежда и обувь,815,2640,2151600
941,Продукты питания,336,2005,673680
942,Красота и здоровье,241,2820,679620
943,Электроника,326,12457,4060982
944,Продукты питания,621,1607,997947
945,Красота и здоровье,385,2542,978670
947,Красота и здоровье,1021,2660,2715860
949,Продукты питания,462,1740,803880
952,Электроника,215,13906,2989790
958,Одежда и обувь,455,2744,1248520
961,Красота и здоровье,188,2655,499140
964,Одежда и обувь,248,4192,1039616
970,Одежда и обувь,869,3644,3166636
971,Хобби и DIY,125,3168,396000
973,Одежда и обувь,2243,3344,7500592
974,Товары для дома,154,5022,773388
978,Одежда и обувь,357,3223,1150611
982,Хобби и DIY,192,2571,493632
984,Продукты питания,234,2016,471744
985,Электроника,79,11360,897440
986,Продукты питания,597,2090,1247730
988,Электроника,54,13549,731646
990,Товары для дома,280,4186,1172080
991,Продукты питания,464,2121,984144
996,Услуги и подписки,485,1879,911315
1000,Товары для дома,326,5423,1767898
1002,Одежда и обувь,2506,2609,6538154
1003,Одежда и обувь,440,4369,1922360
1006,Одежда и обувь,261,2496,651456
1010,Одежда и обувь,2461,2699,6642239
1011,Красота и здоровье,339,2052,695628
1014,Одежда и обувь,334,3287,1097858
1015,Продукты питания,172,1457,250604
1017,Товары для дома,210,3578,751380
1018,Электроника,117,11727,1372059
1019,Одежда и обувь,354,3100,1097400
1028,Товары для дома,80,4717,377360
1029,Одежда и обувь,441,3589,1582749
1030,Красота и здоровье,405,3054,1236870
1031,Одежда и обувь,311,3382,1051802
1032,Красота и здоровье,252,2735,689220
1037,Красота и здоровье,245,2504,613480
1042,Электроника,189,14564,2752596
1044,Одежда и обувь,1356,4013,5441628
1047,Хобби и DIY,180,2503,450540
1048,Хобби и DIY,85,2259,192015
1051,Товары для дома,234,4544,1063296
1052,Электроника,219,12057,2640483
1053,Товары для дома,128,4760,609280
1054,Товары для дома,151,4894,738994
1056,Одежда и обувь,323,3304,1067192
1057,Услуги и подписки,262,1269,332478
1060,Одежда и обувь,439,3291,1444749
1061,Одежда и обувь,214,3508,750712
1063,Электроника,131,15096,1977576
1064,Товары для дома,245,4551,1114995
1065,Красота и здоровье,577,2586,1492122
1066,Товары для дома,121,4812,582252
1067,Товары для дома,151,4581,691731
1070,Товары для дома,134,4597,615998
1071,Товары для дома,101,3790,382790
1072,Красота и здоровье,75,2732,204900
1074,Услуги и подписки,370,1616,597920
1082,Красота и здоровье,341,2463,839883
1085,Одежда и обувь,677,3593,2432461
1086,Одежда и обувь,624,2679,1671696
1087,Продукты питания,321,2231,716151
1089,Одежда и обувь,378,3074,1161972
1091,Услуги и подписки,518,1448,750064
1092,Услуги и подписки,412,1661,684332
1094,Красота и здоровье,298,2139,637422
1095,Продукты питания,236,1784,421024
1096,Одежда и обувь,567,3093,1753731
1102,Красота и здоровье,355,2762,980510
1103,Одежда и обувь,382,3004,1147528
1107,Красота и здоровье,364,2828,1029392
1110,Электроника,247,13152,3248544
1113,Красота и здоровье,406,2105,854630
1114,Красота и здоровье,541,2855,1544555
1116,Электроника,287,15630,4485810
1118,Товары для дома,441,4352,1919232
1123,Одежда и обувь,402,3181,1278762
1124,Одежда и обувь,829,2861,2371769
1125,Товары для дома,326,4853,1582078
1126,Продукты питания,641,2144,1374304
1132,Продукты питания,438,1740,762120
1134,Электроника,235,11350,2667250
1135,Хобби и DIY,91,3105,282555
1140,Электроника,233,11595,2701635
1141,Товары для дома,488,4469,2180872
1142,Одежда и обувь,1338,3295,4408710
1144,Услуги и подписки,271,1183,320593
1145,Товары для дома,668,4392,2933856
1146,Электроника,164,15633,2563812
1150,Одежда и обувь,791,3685,2914835
1151,Услуги и подписки,300,1607,482100
1152,Красота и здоровье,643,2790,1793970
1155,Одежда и обувь,604,3650,2204600
1157,Услуги и подписки,208,1424,296192
1161,Услуги и подписки,514,1485,763290
1164,Одежда и обувь,411,3544,1456584
1165,Хобби и DIY,190,2543,483170
1166,Электроника,71,14812,1051652
1175,Хобби и DIY,252,2150,541800
1176,Услуги и подписки,103,1442,148526
1177,Электроника,137,14499,1986363
1180,Красота и здоровье,151,2910,439410
1181,Электроника,97,12029,1166813
1182,Одежда и обувь,530,3527,1869310
1183,Товары для дома,173,5078,878494
1184,Продукты питания,615,2396,1473540
1185,Электроника,157,11572,1816804
1186,Электроника,197,13120,2584640
1187,Красота и здоровье,204,2470,503880
1189,Хобби и DIY,241,3194,769754
1191,Одежда и обувь,597,3343,1995771
1194,Услуги и подписки,387,1388,537156
1200,Одежда и обувь,820,3701,3034820
1201,Красота и здоровье,515,2351,1210765
1203,Красота и здоровье,402,2658,1068516
1204,Электроника,198,13830,2738340
1205,Одежда и обувь,991,2693,2668763
1208,Одежда и обувь,591,3068,1813188
1211,Электроника,143,15736,2250248
1212,Одежда и обувь,894,3490,3120060
1214,Хобби и DIY,284,2331,662004
1215,Продукты питания,399,1933,771267
1216,Товары для дома,352,3799,1337248
1217,Услуги и подписки,373,1530,570690
1224,Одежда и обувь,567,3561,2019087
1225,Услуги и подписки,129,1484,191436
1226,Одежда и обувь,295,3096,913320
1231,Товары для дома,204,5951,1214004
1232,Услуги и подписки,297,1440,427680
1233,Одежда и обувь,283,2628,743724
1234,Одежда и обувь,171,3333,569943
1239,Хобби и DIY,151,3079,464929
1241,Одежда и обувь,543,4060,2204580
1244,Одежда и обувь,869,2300,1998700
1245,Товары для дома,724,4409,3192116
1251,Услуги и подписки,137,1433,196321
1255,Услуги и подписки,350,1530,535500
1258,Услуги и подписки,1073,1255,1346615
1263,Продукты питания,199,2027,403373
1264,Красота и здоровье,187,2890,540430
1265,Одежда и обувь,922,3039,2801958
1266,Одежда и обувь,599,3381,2025219
1267,Услуги и подписки,337,1647,555039
1271,Красота и здоровье,450,3152,1418400
1273,Одежда и обувь,811,3831,3106941
1276,Одежда и обувь,682,3187,2173534
1277,Электроника,243,13496,3279528
1283,Одежда и обувь,279,3304,921816
1284,Товары для дома,429,4459,1912911
1288,Красота и здоровье,756,2755,2082780
1289,Товары для дома,460,5185,2385100
1293,Одежда и обувь,711,3397,2415267
1294,Электроника,508,14339,7284212
1296,Услуги и подписки,321,1449,465129
1300,Одежда и обувь,932,3363,3134316
1301,Одежда и обувь,1370,3480,4767600
1304,Электроника,147,13294,1954218
1305,Одежда и обувь,1110,3023,3355530
1309,Товары для дома,134,6010,805340
1313,Товары для дома,155,5295,820725
1314,Одежда и обувь,314,3401,1067914
1316,Продукты питания,126,1905,240030
1318,Электроника,121,12683,1534643
1319,Товары для дома,262,5760,1509120
1320,Одежда и обувь,456,3791,1728696
1321,Хобби и DIY,79,2906,229574
1324,Одежда и обувь,139,4411,613129
1326,Услуги и подписки,192,1607,308544
1327,Услуги и подписки,182,1338,243516
1328,Услуги и подписки,822,1633,1342326
1330,Красота и здоровье,317,2766,876822
1331,Электроника,472,14931,7047432
1332,Одежда и обувь,364,3704,1348256
1333,Услуги и подписки,517,1525,788425
1334,Красота и здоровье,366,2901,1061766
1335,Красота и здоровье,205,2076,425580
1338,Одежда и обувь,622,3595,2236090
1339,Продукты питания,366,2030,742980
1343,Одежда и обувь,457,2856,1305192
1344,Красота и здоровье,128,2639,337792
1345,Услуги и подписки,857,1381,1183517
1346,Хобби и DIY,216,2558,552528
1348,Одежда и обувь,293,3777,1106661
1351,Одежда и обувь,669,2979,1992951
1353,Услуги и подписки,240,1459,350160
1356,Одежда и обувь,1167,3022,3526674
1357,Одежда и обувь,460,3492,1606320
1358,Товары для дома,244,5097,1243668
1360,Одежда и обувь,383,2874,1100742
1361,Одежда и обувь,704,3261,2295744
1365,Красота и здоровье,317,2541,805497
1366,Красота и здоровье,636,2636,1676496
1367,Одежда и обувь,640,3787,2423680
1369,Одежда и обувь,2071,3009,6231639
1374,Продукты питания,380,1807,686660
1375,Одежда и обувь,349,3935,1373315
1377,Одежда и обувь,362,3719,1346278
1378,Услуги и подписки,195,1327,258765
1379,Товары для дома,160,4833,773280
1381,Одежда и обувь,1246,3570,4448220
1382,Электроника,156,14163,2209428
1383,Услуги и подписки,343,1557,534051
1385,Одежда и обувь,268,3567,955956
1386,Электроника,180,13465,2423700
1387,Одежда и обувь,149,3418,509282
1389,Товары для дома,305,3969,1210545
1390,Электроника,135,12027,1623645
1396,Услуги и подписки,702,1723,1209546
1398,Красота и здоровье,506,2869,1451714
1400,Услуги и подписки,453,1497,678141
1402,Услуги и подписки,180,1456,262080
1405,Товары для дома,306,4464,1365984
1406,Хобби и DIY,472,2420,1142240
1407,Одежда и обувь,357,3787,1351959
1408,Одежда и обувь,342,3271,1118682
1410,Красота и здоровье,331,2692,891052
1411,Товары для дома,288,6315,1818720
1413,Красота и здоровье,466,2632,1226512
1414,Продукты питания,555,1728,959040
1415,Электроника,206,14145,2913870
1417,Одежда и обувь,368,3839,1412752
1420,Одежда и обувь,1622,2607,4228554
1424,Электроника,417,14716,6136572
1425,Одежда и обувь,707,3032,2143624
1426,Услуги и подписки,585,1790,1047150
1427,Одежда и обувь,536,3920,2101120
1428,Красота и здоровье,167,2640,440880
1430,Одежда и обувь,902,3055,2755610
1432,Хобби и DIY,81,3056,247536
1434,Одежда и обувь,1724,3571,6156404
1436,Красота и здоровье,176,2359,415184
1441,Услуги и подписки,647,1594,1031318
1442,Электроника,519,11066,5743254
1444,Электроника,88,13212,1162656
1445,Продукты питания,190,1966,373540
1451,Электроника,246,13534,3329364
1459,Услуги и подписки,700,1718,1202600
1462,Красота и здоровье,488,2446,1193648
1466,Электроника,118,11817,1394406
1471,Одежда и обувь,1313,3411,4478643
1473,Электроника,642,14052,9021384
1474,Товары для дома,154,4777,735658
1477,Продукты питания,527,1534,808418
1478,Одежда и обувь,795,3292,2617140
1479,Хобби и DIY,143,2752,393536
1482,Одежда и обувь,344,3083,1060552
1483,Продукты питания,238,1364,324632
1484,Услуги и подписки,114,1556,177384
1485,Одежда и обувь,905,2866,2593730
1487,Электроника,141,14287,2014467
1488,Одежда и обувь,1403,4340,6089020
1490,Товары для дома,351,4374,1535274
1493,Услуги и подписки,288,1563,450144
1496,Электроника,416,13259,5515744
1499,Электроника,180,10443,1879740
1502,Красота и здоровье,244,1844,449936
1503,Электроника,280,10718,3001040
1508,Продукты питания,313,1831,573103
1509,Одежда и обувь,612,4395,2689740
1511,Электроника,226,13680,3091680
1512,Одежда и обувь,573,3039,1741347
1514,Хобби и DIY,202,2410,486820
1515,Одежда и обувь,684,3121,2134764
1516,Электроника,204,9914,2022456
1517,Продукты питания,313,1698,531474
1521,Хобби и DIY,92,2849,262108
1523,Товары для дома,170,4767,810390
1524,Продукты питания,288,1807,520416
1526,Продукты питания,599,2090,1251910
1528,Электроника,473,11069,5235637
1530,Хобби и DIY,162,2839,459918
1531,Одежда и обувь,1080,2935,3169800
1538,Продукты питания,283,2089,591187
1539,Продукты питания,384,1915,735360
